match_id,kickoff_utc,team_a,team_a_iso3,team_b,team_b_iso3,stage,venue_city,venue_country,venue_altitude_m,goals_a,goals_b,winner_90min,close_a,close_draw,close_b,close_source
wc22-h-por-uru-20221128,2022-11-28T19:00:00Z,Portugal,por,Uruguay,uru,Group H,Lusail,QA,8,2,0,a,2.20,3.20,3.55,Pinnacle (approx)
wc22-a-ned-qat-20221129,2022-11-29T15:00:00Z,Netherlands,ned,Qatar,qat,Group A,Al Khor,QA,12,2,0,a,1.18,7.00,17.00,Pinnacle (approx)
wc22-a-ecu-sen-20221129,2022-11-29T15:00:00Z,Ecuador,ecu,Senegal,sen,Group A,Doha,QA,8,1,2,b,2.50,3.10,3.10,Pinnacle (approx)
wc22-b-wal-eng-20221129,2022-11-29T19:00:00Z,Wales,wal,England,eng,Group B,Al Rayyan,QA,18,0,3,b,7.50,4.20,1.46,Pinnacle (approx)
wc22-b-irn-usa-20221129,2022-11-29T19:00:00Z,Iran,irn,USA,usa,Group B,Doha,QA,8,0,1,b,4.85,3.40,1.78,Pinnacle (approx)
wc22-d-tun-fra-20221130,2022-11-30T15:00:00Z,Tunisia,tun,France,fra,Group D,Al Rayyan,QA,18,1,0,a,8.50,4.40,1.42,Pinnacle (approx)
wc22-d-aus-den-20221130,2022-11-30T15:00:00Z,Australia,aus,Denmark,den,Group D,Al Wakrah,QA,8,1,0,a,4.85,3.20,1.78,Pinnacle (approx)
wc22-c-pol-arg-20221130,2022-11-30T19:00:00Z,Poland,pol,Argentina,arg,Group C,Doha,QA,8,0,2,b,8.20,4.40,1.42,Pinnacle (approx)
wc22-c-sau-mex-20221130,2022-11-30T19:00:00Z,Saudi Arabia,ksa,Mexico,mex,Group C,Lusail,QA,8,1,2,b,5.40,3.50,1.74,Pinnacle (approx)
wc22-f-cro-bel-20221201,2022-12-01T15:00:00Z,Croatia,cro,Belgium,bel,Group F,Al Rayyan,QA,18,0,0,draw,3.50,3.10,2.30,Pinnacle (approx)
wc22-f-can-mar-20221201,2022-12-01T15:00:00Z,Canada,can,Morocco,mar,Group F,Doha,QA,8,1,2,b,3.85,3.20,2.10,Pinnacle (approx)
wc22-e-jpn-esp-20221201,2022-12-01T19:00:00Z,Japan,jpn,Spain,esp,Group E,Al Khor,QA,12,2,1,a,6.85,4.20,1.50,Pinnacle (closing)
wc22-e-crc-ger-20221201,2022-12-01T19:00:00Z,Costa Rica,crc,Germany,ger,Group E,Al Khor,QA,12,2,4,b,12.0,7.00,1.27,Pinnacle (approx)
wc22-h-kor-por-20221202,2022-12-02T15:00:00Z,South Korea,kor,Portugal,por,Group H,Doha,QA,8,2,1,a,5.40,3.50,1.74,Pinnacle (approx)
wc22-h-gha-uru-20221202,2022-12-02T15:00:00Z,Ghana,gha,Uruguay,uru,Group H,Al Wakrah,QA,8,0,2,b,5.80,3.30,1.78,Pinnacle (approx)
wc22-g-cmr-bra-20221202,2022-12-02T19:00:00Z,Cameroon,cmr,Brazil,bra,Group G,Lusail,QA,8,1,0,a,12.50,5.80,1.30,Pinnacle (approx)
wc22-g-srb-sui-20221202,2022-12-02T19:00:00Z,Serbia,srb,Switzerland,sui,Group G,Doha,QA,8,2,3,b,2.95,3.20,2.55,Pinnacle (approx)
wc22-r16-ned-usa-20221203,2022-12-03T15:00:00Z,Netherlands,ned,USA,usa,Round of 16,Al Rayyan,QA,18,3,1,a,1.85,3.30,4.85,Pinnacle (approx)
wc22-r16-arg-aus-20221203,2022-12-03T19:00:00Z,Argentina,arg,Australia,aus,Round of 16,Al Rayyan,QA,18,2,1,a,1.30,5.50,11.00,Pinnacle (approx)
wc22-r16-fra-pol-20221204,2022-12-04T15:00:00Z,France,fra,Poland,pol,Round of 16,Doha,QA,8,3,1,a,1.55,4.30,7.20,Pinnacle (approx)
wc22-r16-eng-sen-20221204,2022-12-04T19:00:00Z,England,eng,Senegal,sen,Round of 16,Al Khor,QA,12,3,0,a,1.42,4.50,8.30,Pinnacle (approx)
wc22-r16-jpn-cro-20221205,2022-12-05T15:00:00Z,Japan,jpn,Croatia,cro,Round of 16,Al Wakrah,QA,8,1,1,draw,3.20,3.10,2.55,Pinnacle (approx)
wc22-r16-bra-kor-20221205,2022-12-05T19:00:00Z,Brazil,bra,South Korea,kor,Round of 16,Doha,QA,8,4,1,a,1.36,5.05,9.50,Pinnacle (approx)
wc22-r16-mar-esp-20221206,2022-12-06T15:00:00Z,Morocco,mar,Spain,esp,Round of 16,Al Rayyan,QA,18,0,0,draw,5.50,3.30,1.78,Pinnacle (approx)
wc22-r16-por-sui-20221206,2022-12-06T19:00:00Z,Portugal,por,Switzerland,sui,Round of 16,Lusail,QA,8,6,1,a,1.85,3.55,4.40,Pinnacle (approx)
wc22-qf-cro-bra-20221209,2022-12-09T15:00:00Z,Croatia,cro,Brazil,bra,Quarter-final,Al Rayyan,QA,18,1,1,draw,5.80,3.85,1.61,Pinnacle (closing)
wc22-qf-ned-arg-20221209,2022-12-09T19:00:00Z,Netherlands,ned,Argentina,arg,Quarter-final,Lusail,QA,8,2,2,draw,3.55,3.10,2.30,Pinnacle (approx)
wc22-qf-mar-por-20221210,2022-12-10T15:00:00Z,Morocco,mar,Portugal,por,Quarter-final,Doha,QA,8,1,0,a,5.80,3.65,1.65,Pinnacle (approx)
wc22-qf-eng-fra-20221210,2022-12-10T19:00:00Z,England,eng,France,fra,Quarter-final,Al Khor,QA,12,1,2,b,3.30,3.10,2.45,Pinnacle (closing)
wc22-sf-arg-cro-20221213,2022-12-13T19:00:00Z,Argentina,arg,Croatia,cro,Semi-final,Lusail,QA,8,3,0,a,1.85,3.30,4.85,Pinnacle (closing)
wc22-sf-fra-mar-20221214,2022-12-14T19:00:00Z,France,fra,Morocco,mar,Semi-final,Al Khor,QA,12,2,0,a,1.62,3.55,6.50,Pinnacle (closing)
wc22-3rd-cro-mar-20221217,2022-12-17T15:00:00Z,Croatia,cro,Morocco,mar,Third-place,Doha,QA,8,2,1,a,2.10,3.30,3.85,Pinnacle (approx)
wc22-fin-arg-fra-20221218,2022-12-18T15:00:00Z,Argentina,arg,France,fra,Final,Lusail,QA,8,3,3,draw,3.20,3.10,2.45,Pinnacle (closing)
